REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME
A01,ST0002,201512,151750
A01,ST0001,201520,645626
A01,ST0002,201520,125863
A01,ST0001,201515,810144
A01,ST0002,201515,128999
A01,ST0001,201518,671464
A01,ST0002,201518,134467
A01,ST0001,201513,470040
A01,ST0002,201513,140297
A01,ST0001,201511,524787
A01,ST0002,201511,145509
A01,ST0001,201516,764927
A01,ST0002,201516,140313
A01,ST0001,201519,682757
A01,ST0002,201519,128668
A01,ST0001,201514,428195
A01,ST0002,201514,137488
A01,ST0001,201512,486509
A01,ST0001,201517,697502
A01,ST0002,201517,127163
A01,ST0001,201507,620392
A01,ST0002,201507,146476
A01,ST0001,201510,511679
A01,ST0002,201510,153152
A01,ST0001,201502,438251
A01,ST0002,201502,123875
A01,ST0001,201505,482381
A01,ST0002,201505,180516
A01,ST0001,201508,571781
A01,ST0002,201508,156772
A01,ST0001,201503,420290
A01,ST0002,201503,114744
A01,ST0001,201506,570412
A01,ST0002,201506,139277
A01,ST0001,201509,569545
A01,ST0002,201509,141823
A01,ST0001,201501,513598
A01,ST0002,201501,155729
A01,ST0001,201504,458431
A01,ST0002,201504,137162
A01,ST0002,201535,149570
A01,ST0001,201538,693449
A01,ST0002,201538,132870
A01,ST0001,201533,679332
A01,ST0002,201533,150105
A01,ST0001,201541,624735
A01,ST0002,201541,127720
A01,ST0001,201536,826981
A01,ST0002,201536,210006
A01,ST0001,201539,636169
A01,ST0002,201539,129992
A01,ST0001,201534,846123
A01,ST0002,201534,168303
A01,ST0001,201532,677509
A01,ST0002,201532,134564
A01,ST0001,201537,717281
A01,ST0002,201537,195106
A01,ST0001,201540,647135
A01,ST0002,201540,139629
A01,ST0001,201535,833345
A01,ST0001,201525,618699
A01,ST0002,201525,128766
A01,ST0001,201528,587529
A01,ST0002,201528,142598
A01,ST0001,201523,610479
A01,ST0002,201523,125300
A01,ST0001,201526,586721
A01,ST0002,201526,135212
A01,ST0001,201531,671138
A01,ST0002,201531,140732
A01,ST0001,201521,620290
A01,ST0002,201521,132909
A01,ST0001,201529,620882
A01,ST0002,201529,154985
A01,ST0001,201524,589613
A01,ST0002,201524,139590
A01,ST0001,201527,599043
A01,ST0002,201527,184550
A01,ST0001,201522,603104
A01,ST0002,201522,143231
A01,ST0001,201530,643984
A01,ST0002,201530,133998
A01,ST0001,201605,661049
A01,ST0002,201605,231214
A01,ST0001,201603,531372
A01,ST0002,201603,152763
A01,ST0001,201601,651243
A01,ST0002,201601,162801
A01,ST0001,201608,671116
A01,ST0002,201608,130000
A01,ST0001,201606,881536
A01,ST0002,201606,172230
A01,ST0001,201552,1197170
A01,ST0002,201552,422468
A01,ST0001,201604,585025
A01,ST0002,201604,197057
A01,ST0001,201602,573198
A01,ST0002,201602,137186
A01,ST0001,201553,757241
A01,ST0002,201553,232523
A01,ST0001,201607,790430
A01,ST0002,201607,161324
A01,ST0001,201543,627906
A01,ST0002,201543,124142
A01,ST0001,201551,863189
A01,ST0002,201551,356271
A01,ST0001,201546,644949
A01,ST0002,201546,184242
A01,ST0001,201549,835398
A01,ST0002,201549,669711
A01,ST0001,201544,623132
A01,ST0002,201544,133493
A01,ST0001,201547,681873
A01,ST0002,201547,378339
A01,ST0001,201542,639179
A01,ST0002,201542,136559
A01,ST0001,201550,752613
A01,ST0002,201550,294579
A01,ST0001,201545,621592
A01,ST0002,201545,155032
A01,ST0001,201548,1103665
A01,ST0002,201548,1400339
A01,ST0001,201623,768124
A01,ST0002,201623,161983
A01,ST0001,201621,721991
A01,ST0002,201621,205984
A01,ST0001,201626,871247
A01,ST0002,201626,196489
A01,ST0001,201619,693402
A01,ST0002,201619,152980
A01,ST0001,201624,772706
A01,ST0002,201624,171592
A01,ST0001,201622,817878
A01,ST0002,201622,214929
A01,ST0001,201620,695859
A01,ST0002,201620,160913
A01,ST0001,201618,712672
A01,ST0002,201618,162560
A01,ST0001,201625,786218
A01,ST0002,201625,157283
A01,ST0001,201612,794413
A01,ST0002,201612,132780
A01,ST0001,201610,1218194
A01,ST0002,201610,142575
A01,ST0001,201617,694920
A01,ST0002,201617,142279
A01,ST0001,201615,678467
A01,ST0002,201615,143180
A01,ST0001,201613,886427
A01,ST0002,201613,135788
A01,ST0001,201611,1011581
A01,ST0002,201611,150915
A01,ST0001,201609,635412
A01,ST0001,201616,658270
A01,ST0002,201616,137927
A01,ST0002,201609,154149
A01,ST0001,201614,739977
A01,ST0002,201614,148835
A01,ST0001,201641,746061
A01,ST0002,201641,166896
A01,ST0001,201639,744617
A01,ST0002,201639,176620
A01,ST0001,201644,601142
A01,ST0002,201644,178978
A01,ST0001,201637,708054
A01,ST0002,201637,167810
A01,ST0001,201642,666092
A01,ST0002,201642,145914
A01,ST0001,201640,690563
A01,ST0002,201640,174555
A01,ST0001,201638,1007871
A01,ST0002,201638,174678
A01,ST0001,201636,701390
A01,ST0002,201636,232345
A01,ST0001,201643,551038
A01,ST0002,201643,158291
A01,ST0001,201630,794421
A01,ST0002,201630,168904
A01,ST0001,201628,863292
A01,ST0002,201628,191105
A01,ST0001,201635,732598
A01,ST0002,201635,229962
A01,ST0001,201633,748038
A01,ST0002,201633,201557
A01,ST0001,201631,832400
A01,ST0002,201631,179630
A01,ST0001,201629,809554
A01,ST0002,201629,163171
A01,ST0001,201627,798282
A01,ST0002,201627,188335
A01,ST0001,201634,711380
A01,ST0002,201634,181811
A01,ST0001,201632,774620
A01,ST0002,201632,215174
A01,ST0001,201648,873341
A01,ST0002,201648,711806
A01,ST0001,201646,630040
A01,ST0002,201646,441993
A01,ST0001,201651,1175605
A01,ST0002,201651,401602
A01,ST0001,201649,749699
A01,ST0002,201649,278487
A01,ST0001,201647,1037853
A01,ST0002,201647,1663206
A01,ST0001,201645,585098
A01,ST0002,201645,192137
A01,ST0001,201652,813749
A01,ST0002,201652,208186
A01,ST0001,201650,786380
A01,ST0002,201650,320253
